Date,Price,Open,High,Low,Vol.,Change %
06/01/2019,26599.96,24830.16,26907.37,24680.57,5.54B,7.19%
05/01/2019,24815.04,26639.06,26689.39,24809.51,6.36B,-6.69%
04/01/2019,26592.91,26075.1,26695.96,26062.59,5.85B,2.56%
03/01/2019,25928.68,26019.67,26155.98,25208,6.63B,0.05%
02/01/2019,25916,25025.31,26241.42,24883.04,5.43B,3.67%
01/01/2019,24999.67,23058.61,25109.62,22638.41,7.19B,7.17%
12/01/2018,23327.46,25779.57,25980.21,21712.53,8.10B,-8.66%
11/01/2018,25538.46,25142.08,26277.82,24268.74,7.23B,1.68%
10/01/2018,25115.76,26598.36,26951.81,24122.23,8.37B,-5.07%
09/01/2018,26458.31,25916.07,26769.16,25754.32,5.26B,1.90%
08/01/2018,25964.82,25461.63,26167.94,24965.77,5.64B,2.16%
07/01/2018,25415.19,24161.53,25587.24,24077.56,5.41B,4.71%
06/01/2018,24271.41,24542.09,25402.83,23997.21,7.41B,-0.59%
05/01/2018,24415.84,24117.29,25086.49,23531.31,7.28B,1.05%
04/01/2018,24163.15,24076.6,24858.97,23344.52,8.06B,0.25%
03/01/2018,24103.11,25024.04,25449.15,23509.06,8.87B,-3.70%
02/01/2018,25029.2,26083.04,26306.7,23360.29,9.45B,-4.28%
01/01/2018,26149.39,24809.35,26616.71,24741.7,9.12B,5.79%
12/01/2017,24719.22,24305.4,24876.07,23921.9,6.59B,1.84%
11/01/2017,24272.35,23442.9,24327.82,23242.75,7.34B,3.83%
10/01/2017,23377.24,22423.47,23485.25,22416,7.30B,4.34%
09/01/2017,22405.09,21981.77,22419.51,21709.63,6.34B,2.08%
08/01/2017,21948.1,21961.42,22179.11,21600.34,6.15B,0.26%
07/01/2017,21891.12,21392.3,21929.8,21279.3,5.57B,2.54%
06/01/2017,21349.63,21030.55,21535.03,20994.22,7.21B,1.62%
05/01/2017,21008.65,20962.73,21112.32,20553.45,6.61B,0.33%
04/01/2017,20940.51,20665.17,21070.9,20379.55,5.39B,1.34%
03/01/2017,20663.22,20957.29,21169.11,20412.8,6.94B,-0.72%
02/01/2017,20812.24,19923.81,20851.33,19831.09,6.19B,4.77%
01/01/2017,19864.09,19872.86,20125.58,19677.94,6.48B,0.51%
12/01/2016,19762.6,19149.2,19987.63,19138.79,5.95B,3.34%
11/01/2016,19123.58,18158.24,19225.29,17883.56,2.11B,5.41%
10/01/2016,18142.42,18279.6,18399.96,17959.95,1.79B,-0.91%
09/01/2016,18308.15,18396.57,18551.54,17992.21,2.10B,-0.50%
08/01/2016,18400.88,18434.5,18668.44,18247.79,1.70B,-0.17%
07/01/2016,18432.24,17924.24,18622.01,17713.45,1.82B,2.80%
06/01/2016,17929.99,17754.55,18016,17063.08,2.35B,0.80%
05/01/2016,17787.2,17783.78,17934.61,17331.07,1.88B,0.08%
04/01/2016,17773.64,17661.74,18167.63,17484.23,2.10B,0.50%
03/01/2016,17685.09,16545.67,17790.11,16545.67,2.41B,7.08%
02/01/2016,16516.5,16453.63,16795.98,15503.01,2.49B,0.30%
01/01/2016,16466.3,17405.48,17405.48,15450.56,2.84B,-5.50%
12/01/2015,17425.03,17719.72,17901.58,17116.73,2.52B,-1.66%
11/01/2015,17719.92,17672.62,17977.85,17210.43,2.30B,0.32%
10/01/2015,17663.54,16278.62,17799.96,16013.66,2.61B,8.47%
09/01/2015,16284.7,16528.03,16933.43,15942.37,2.72B,-1.47%
08/01/2015,16528.03,17696.74,17704.76,15370.33,2.73B,-6.57%
07/01/2015,17689.86,17638.12,18137.12,17399.17,2.03B,0.40%
06/01/2015,17619.51,18017.82,18188.81,17576.5,2.22B,-2.17%
05/01/2015,18010.68,17859.27,18351.36,17733.12,1.83B,0.95%
04/01/2015,17840.52,17778.52,18175.56,17585.01,2.17B,0.36%
03/01/2015,17776.12,18134.05,18288.63,17579.27,2.47B,-1.97%
02/01/2015,18132.7,17169.99,18244.38,17037.76,1.75B,5.64%
01/01/2015,17164.95,17823.07,17951.78,17136.3,2.17B,-3.69%
12/01/2014,17823.07,17827.27,18103.45,17067.59,2.22B,-0.03%
11/01/2014,17828.24,17390.9,17894.83,17278.36,1.52B,2.52%
10/01/2014,17390.52,17040.46,17395.54,15855.12,2.31B,2.04%
09/01/2014,17042.9,17097.42,17350.64,16934.43,1.87B,-0.32%
08/01/2014,17098.45,16561.7,17153.8,16333.78,1.48B,3.23%
07/01/2014,16563.3,16828.53,17151.56,16563.3,1.69B,-1.56%
06/01/2014,16826.6,16716.85,16978.02,16673.65,1.76B,0.65%
05/01/2014,16717.17,16580.26,16735.51,16341.3,1.64B,0.82%
04/01/2014,16580.84,16458.05,16631.63,16015.32,1.99B,0.75%
03/01/2014,16457.66,16321.71,16505.7,16046.99,2.10B,0.83%
02/01/2014,16321.71,15697.69,16398.95,15340.69,2.07B,3.97%
01/01/2014,15698.85,16572.17,16573.07,15617.55,2.18B,-5.30%
12/01/2013,16576.66,16087.12,16588.25,15703.79,2.06B,3.05%
11/01/2013,16086.41,15558.01,16174.51,15522.18,1.82B,3.48%
10/01/2013,15545.75,15132.49,15721,14719.43,2.21B,2.75%
09/01/2013,15129.67,14801.55,15709.58,14777.48,2.37B,2.16%
08/01/2013,14810.31,15503.85,15658.43,14760.41,2.33B,-4.45%
07/01/2013,15499.54,14911.6,15634.32,14858.93,2.57B,3.96%
06/01/2013,14909.6,15123.55,15340.09,14551.27,2.93B,-1.36%
05/01/2013,15115.57,14839.8,15542.4,14687.05,2.77B,1.86%
04/01/2013,14839.8,14578.54,14887.51,14434.43,2.92B,1.79%
03/01/2013,14578.54,14054.49,14585.1,13937.6,2.55B,3.73%
02/01/2013,14054.49,13860.58,14149.15,13784.01,2.49B,1.40%
01/01/2013,13860.58,13104.3,13969.99,13104.3,2.79B,5.77%
12/01/2012,13104.14,13027.73,13365.86,12883.89,2.67B,0.60%
11/01/2012,13025.58,13099.19,13290.75,12471.49,2.68B,-0.54%
10/01/2012,13096.46,13437.66,13661.87,13039.86,2.47B,-2.54%
09/01/2012,13437.13,13092.15,13653.24,12977.09,2.70B,2.65%
08/01/2012,13090.84,13007.47,13330.76,12778.9,2.27B,0.63%
07/01/2012,13008.68,12879.71,13128.64,12492.25,2.58B,1.00%
06/01/2012,12880.09,12391.56,12898.94,12035.09,2.92B,3.93%
05/01/2012,12393.45,13214.16,13338.66,12311.56,3.05B,-6.21%
04/01/2012,13213.63,13211.36,13297.11,12710.56,2.57B,0.01%
03/01/2012,13212.04,12952.29,13289.08,12734.86,3.20B,2.01%
02/01/2012,12952.07,12632.76,13055.75,12632.76,2.71B,2.53%
01/01/2012,12632.91,12221.19,12841.95,12221.19,2.98B,3.40%
12/01/2011,12217.56,12046.21,12328.47,11735.19,3.15B,1.43%
11/01/2011,12045.68,11951.53,12187.51,11231.56,3.40B,0.76%
10/01/2011,11955.01,10912.1,12284.31,10404.49,3.91B,9.54%
09/01/2011,10913.38,11613.3,11716.84,10597.14,4.40B,-6.03%
08/01/2011,11613.53,12144.22,12282.42,10604.07,6.20B,-4.36%
07/01/2011,12143.24,12412.07,12753.89,12083.45,3.09B,-2.18%
06/01/2011,12414.34,12569.41,12569.49,11862.53,3.88B,-1.24%
05/01/2011,12569.79,12810.16,12876,12309.52,3.58B,-1.88%
04/01/2011,12810.54,12321.02,12832.83,12093.89,3.32B,3.98%
03/01/2011,12319.73,12226.49,12383.46,11555.48,3.85B,0.76%
02/01/2011,12226.34,11892.5,12391.29,11892.5,3.22B,2.81%
01/01/2011,11891.93,11577.43,12020.52,11573.87,3.68B,2.72%
12/01/2010,11577.51,11007.23,11625,11007.23,3.25B,5.19%
11/01/2010,11006.02,11120.3,11451.53,10929.28,3.81B,-1.01%
10/01/2010,11118.49,10789.72,11247.6,10711.12,3.79B,3.06%
09/01/2010,10788.05,10016.01,10948.88,10016.01,3.76B,7.72%
08/01/2010,10014.72,10468.82,10719.94,9936.62,4.12B,-4.31%
07/01/2010,10465.94,9773.27,10584.99,9614.32,4.20B,7.08%
06/01/2010,9774.02,10133.94,10594.16,9753.84,4.94B,-3.58%
05/01/2010,10136.63,11009.6,11177.67,9774.48,5.61B,-7.92%
04/01/2010,11008.61,10857.31,11258.01,10844.09,4.24B,1.40%
03/01/2010,10856.63,10326.1,10955.48,10326.1,4.39B,5.15%
02/01/2010,10325.26,10068.99,10438.55,9835.09,4.28B,2.56%
01/01/2010,10067.33,10430.69,10729.89,10043.75,4.39B,-3.46%
12/01/2009,10428.05,10343.82,10580.33,10235.63,4.17B,0.80%
11/01/2009,10344.84,9712.13,10495.61,9678.95,3.81B,6.51%
10/01/2009,9712.73,9711.6,10119.47,9430.08,5.15B,0.00%
09/01/2009,9712.28,9492.32,9917.99,9252.93,4.48B,2.27%
08/01/2009,9496.28,9173.65,9630.2,9116.52,4.04B,3.54%
07/01/2009,9171.61,8447.53,9246.43,8087.19,4.90B,8.58%
06/01/2009,8447,8501.53,8877.93,8259.43,5.52B,-0.63%
05/01/2009,8500.33,8167.41,8591.93,8099.31,6.73B,4.07%
04/01/2009,8168.12,7606.13,8307.51,7483.87,7.80B,7.35%
03/01/2009,7608.92,7056.48,7931.33,6469.95,10.56B,7.73%
02/01/2009,7062.93,8000.62,8315.07,7033.62,7.13B,-11.72%
01/01/2009,8000.86,8772.25,9088.06,7909.03,6.26B,-8.84%
12/01/2008,8776.39,8826.89,9026.41,8118.5,5.70B,-0.60%
11/01/2008,8829.04,9326.04,9653.95,7449.38,6.26B,-5.32%
10/01/2008,9325.01,10847.4,10882.52,7882.51,8.31B,-14.06%
09/01/2008,10850.66,11545.63,11790.17,10365.45,6.30B,-6.00%
08/01/2008,11543.55,11379.89,11867.11,11221.53,3.58B,1.45%
07/01/2008,11378.02,11344.64,11698.17,10827.71,5.52B,0.25%
06/01/2008,11350.01,12637.67,12638.08,11287.56,5.31B,-10.19%
05/01/2008,12638.32,12818.34,13136.69,12442.59,4.53B,-1.42%
04/01/2008,12820.13,12266.64,13010,12266.47,5.05B,4.54%
03/01/2008,12262.89,12264.36,12622.07,11731.6,6.23B,-0.03%
02/01/2008,12266.39,12638.17,12767.74,12069.47,5.72B,-3.04%
01/01/2008,12650.36,13261.82,13279.54,11634.82,7.46B,-4.63%
12/01/2007,13264.82,13368.22,13780.11,13092,4.31B,-0.80%
11/01/2007,13371.72,13924.16,13924.16,12724.09,5.98B,-4.01%
10/01/2007,13930.01,13895.71,14198.1,13407.49,5.01B,0.25%
09/01/2007,13895.63,13358.39,13924.81,13021.93,4.33B,4.03%
08/01/2007,13357.74,13211.09,13695.82,12517.94,6.20B,1.10%
07/01/2007,13211.99,13409.6,14021.95,13199.79,5.51B,-1.47%
06/01/2007,13408.62,13628.69,13692,13251.53,5.22B,-1.61%
05/01/2007,13627.64,13062.75,13673.07,13041.3,4.99B,4.32%
04/01/2007,13062.91,12354.52,13162.06,12324.28,4.82B,5.74%
03/01/2007,12354.35,12265.59,12511.05,11939.61,5.63B,0.70%
02/01/2007,12268.63,12617.2,12795.93,12086.06,4.35B,-2.80%
01/01/2007,12621.69,12459.54,12657.02,12337.37,4.99B,1.27%
12/01/2006,12463.15,12220.97,12529.88,12089.98,4.34B,1.97%
11/01/2006,12221.93,12080.25,12361,11965.31,4.72B,1.17%
10/01/2006,12080.73,11678.99,12167.02,11653.06,5.54B,3.44%
09/01/2006,11679.07,11382.75,11741.99,11323.84,4.49B,2.62%
08/01/2006,11381.15,11184.8,11407.08,11042.64,4.62B,1.75%
07/01/2006,11185.68,11149.34,11257.08,10683.32,5.55B,0.32%
06/01/2006,11150.22,11169.03,11285.82,10698.85,6.92B,-0.16%
05/01/2006,11168.31,11367.78,11670.19,11030.47,7.30B,-1.75%
04/01/2006,11367.14,11113,11417.66,11039.12,5.58B,2.32%
03/01/2006,11109.32,10993.25,11334.96,10922.73,6.68B,1.05%
02/01/2006,10993.41,10862.14,11159.18,10737.67,5.76B,1.18%
01/01/2006,10864.86,10718.3,11047.76,10661.15,6.43B,1.37%
12/01/2005,10717.5,10806.03,10940.34,10709.42,5.22B,-0.82%
11/01/2005,10805.87,10437.51,10959.79,10388.76,5.39B,3.50%
10/01/2005,10440.07,10569.5,10608.56,10156.46,5.83B,-1.22%
09/01/2005,10568.7,10481.44,10701.81,10350.96,5.22B,0.83%
08/01/2005,10481.6,10641.78,10719.41,10349.37,5.08B,-1.50%
07/01/2005,10640.91,10273.59,10717.73,10175.4,4.82B,3.56%
06/01/2005,10274.97,10462.86,10656.29,10253.49,5.03B,-1.84%
05/01/2005,10467.48,10192,10560.81,10075.55,4.84B,2.70%
04/01/2005,10192.51,10504.57,10568.93,10000.46,5.85B,-2.96%
03/01/2005,10503.76,10769.04,10984.46,10396.24,5.82B,-2.44%
02/01/2005,10766.23,10489.72,10853.43,10489.64,5.04B,2.63%
01/01/2005,10489.94,10783.75,10867.39,10368.61,5.30B,-2.72%
12/01/2004,10783.01,10425.8,10868.07,10418.63,5.74B,3.40%
11/01/2004,10428.02,10028.73,10602.85,10010.15,5.61B,3.99%
10/01/2004,10027.47,10082.04,10270.37,9708.4,5.29B,-0.52%
09/01/2004,10080.27,10170.12,10363.36,9977.92,4.63B,-0.92%
08/01/2004,10173.92,10138.45,10211.25,9783.91,3.72B,0.34%
07/01/2004,10139.71,10434,10448.09,9913.92,4.45B,-2.83%
06/01/2004,10435.48,10187.18,10487.54,10134.86,4.11B,2.42%
05/01/2004,10188.45,10227.27,10386.32,9852.19,4.02B,-0.36%
04/01/2004,10225.57,10357.52,10570.81,10219.18,4.53B,-1.28%
03/01/2004,10357.7,10582.25,10695.55,10007.49,4.97B,-2.14%
02/01/2004,10583.92,10487.78,10753.63,10434.67,3.82B,0.91%
01/01/2004,10488.07,10452.74,10705.18,10367.41,4.38B,0.33%
12/01/2003,10453.92,9785.35,10462.44,9785.35,4.17B,6.86%
11/01/2003,9782.46,9802.46,9903.57,9585.5,3.55B,-0.19%
10/01/2003,9801.12,9276.8,9850.01,9276.8,4.79B,5.67%
09/01/2003,9275.06,9416.67,9686.08,9230.47,4.39B,-1.49%
