Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,97.349998,105.860001,96.500000,102.930000,73.776955,109968500
2011-03-01,103.370003,111.980003,97.010002,111.349998,79.812164,178338000
2011-04-01,112.089996,116.250000,102.160004,115.410004,82.722214,128001300
2011-05-01,116.239998,116.550003,100.370003,105.800003,76.149879,173428400
2011-06-01,104.970001,106.930000,94.209999,106.459999,76.624916,189665100
2011-07-01,106.150002,112.650002,97.279999,98.790001,71.104416,177654200
2011-08-01,102.430000,102.820000,79.559998,91.000000,65.774178,307561600
2011-09-01,91.190002,92.830002,72.599998,73.839996,53.371048,230736600
2011-10-01,72.779999,97.949997,67.540001,94.459999,68.275078,241048600
2011-11-01,90.000000,98.199997,86.629997,97.879997,71.138641,180926400
2011-12-01,97.230003,98.000000,86.290001,90.599998,65.847572,146394200
2012-01-01,92.769997,114.000000,92.769997,109.120003,79.307831,165142400
2012-02-01,110.750000,116.949997,109.860001,114.209999,83.378197,118148000
2012-03-01,114.669998,115.379997,103.480003,106.519997,77.764168,154174100
2012-04-01,105.989998,109.769997,99.800003,102.769997,75.026520,129263800
2012-05-01,102.809998,103.500000,86.010002,87.620003,64.236954,157796600
2012-06-01,85.080002,89.870003,80.959999,84.910004,62.250160,154481000
2012-07-01,85.349998,87.559998,78.250000,84.209999,61.736980,172984300
2012-08-01,85.000000,92.080002,82.099998,85.330002,62.957756,145343300
2012-09-01,85.029999,94.279999,81.779999,86.040001,63.481621,157670000
2012-10-01,86.720001,87.529999,82.099998,84.809998,62.574085,154601200
2012-11-01,85.220001,88.599998,80.160004,85.239998,63.271133,131418100
2012-12-01,85.919998,91.830002,83.750000,89.610001,66.514877,115496400
2013-01-01,92.949997,99.199997,92.889999,98.389999,73.452698,139248800
2013-02-01,99.000000,99.699997,88.500000,92.370003,68.958496,101518700
2013-03-01,91.540001,91.959999,85.800003,86.970001,64.927147,122103600
2013-04-01,86.860001,87.000000,79.489998,84.669998,63.210075,177758200
2013-05-01,84.070000,90.690002,82.660004,85.800003,64.465157,147274700
2013-06-01,85.910004,86.470001,80.860001,82.489998,61.978233,121551200
2013-07-01,83.040001,89.000000,81.349998,82.910004,62.293785,145520800
2013-08-01,83.620003,87.430000,81.459999,82.540001,62.448090,116049500
2013-09-01,83.150002,88.250000,81.720001,83.400002,63.098755,103496700
2013-10-01,83.559998,89.169998,82.449997,83.360001,63.068489,126277800
2013-11-01,83.779999,85.180000,81.870003,84.599998,64.454918,91788100
2013-12-01,84.699997,91.669998,83.110001,90.809998,69.186172,103160000
2014-01-01,90.410004,94.690002,85.879997,93.910004,71.548012,149976200
2014-02-01,93.739998,98.239998,91.059998,96.970001,74.362167,114906100
2014-03-01,96.320000,100.629997,95.059998,99.370003,76.202644,120229900
2014-04-01,98.940002,107.400002,98.940002,105.400002,80.826797,114458600
2014-05-01,105.199997,108.209999,100.720001,102.230003,78.857468,81653000
2014-06-01,102.419998,109.849998,102.010002,108.669998,83.825089,68902600
2014-07-01,109.080002,111.459999,100.739998,100.750000,77.715820,81170300
2014-08-01,100.519997,109.099998,99.110001,109.070000,84.665657,93200800
2014-09-01,109.029999,109.730003,98.260002,99.029999,76.872093,106277300
2014-10-01,98.639999,102.370003,90.050003,101.410004,78.719559,131520200
2014-11-01,101.610001,107.120003,98.040001,100.599998,78.685715,71483300
2014-12-01,100.239998,101.459999,88.029999,91.529999,71.591454,123785900
2015-01-01,91.769997,92.370003,78.809998,79.970001,62.549652,169973700
2015-02-01,80.080002,85.809998,79.489998,82.900002,65.373077,109718100
2015-03-01,82.900002,83.790001,78.190002,80.029999,63.109833,125192400
2015-04-01,80.029999,87.919998,79.389999,86.879997,68.511589,128138200
2015-05-01,87.690002,89.620003,85.110001,85.320000,67.839035,87207100
2015-06-01,86.059998,88.809998,84.699997,84.820000,67.441490,76847900
2015-07-01,85.389999,85.449997,74.769997,78.629997,62.519753,144266200
2015-08-01,78.419998,80.309998,70.230003,76.440002,61.339672,155993300
2015-09-01,74.500000,76.160004,62.990002,65.360001,52.448452,173293300
2015-10-01,65.629997,73.279999,63.099998,72.989998,58.571178,157644200
2015-11-01,73.000000,75.930000,68.410004,72.650002,58.949883,102799600
2015-12-01,72.330002,72.639999,64.099998,67.959999,55.144291,140947200
2016-01-01,66.879997,68.440002,56.360001,62.240002,50.502960,173549300
2016-02-01,61.970001,68.580002,59.799999,67.699997,55.621101,128153700
2016-03-01,68.440002,77.250000,67.339996,76.540001,62.883904,142001200
2016-04-01,75.650002,80.889999,73.699997,77.720001,63.853367,121780600
2016-05-01,77.349998,78.070000,69.040001,72.510002,60.153782,112144400
2016-06-01,71.980003,78.699997,70.529999,75.809998,62.891457,106062600
